imu_t vicon_t roll pitch yaw
5.107104 1329949372.571330 -4 1 0
5.140726 1329949372.579468 -4 1 0
5.140726 1329949372.588180 -3 1 0
5.181935 1329949372.598432 -3 1 0
5.181935 1329949372.604791 -3 1 0
5.223780 1329949372.612918 -3 1 0
5.223780 1329949372.621221 -3 1 0
5.265371 1329949372.629545 -3 1 0
5.265371 1329949372.637974 -3 1 0
5.307061 1329949372.646123 -2 1 0
5.307061 1329949372.654675 -2 1 0
5.340270 1329949372.662991 -2 1 0
5.340270 1329949372.670821 -1 1 0
5.381738 1329949372.681511 -1 1 0
5.381738 1329949372.687860 -1 0 0
5.423586 1329949372.699365 -1 0 0
5.423586 1329949372.704482 0 0 0
5.472205 1329949372.712870 0 0 0
5.472205 1329949372.721062 0 0 0
5.507310 1329949372.729352 0 0 0
5.507310 1329949372.737775 0 0 0
5.540170 1329949372.746027 0 0 0
5.540170 1329949372.760331 0 0 0
5.581704 1329949372.762863 0 0 -1
5.581704 1329949372.770909 0 0 -1
5.623471 1329949372.778986 0 0 -1
5.623471 1329949372.787968 0 0 -1
5.664805 1329949372.796063 1 0 -2
5.664805 1329949372.804139 2 -1 -2
5.699830 1329949372.812951 3 -1 -2
5.699830 1329949372.823809 4 -1 -3
5.739821 1329949372.829359 5 -1 -3
5.739821 1329949372.837751 6 -1 -4
5.781544 1329949372.846246 6 -1 -4
5.781544 1329949372.859623 7 -1 -5
5.823133 1329949372.862615 8 0 -5
5.823133 1329949372.871184 9 0 -6
5.865446 1329949372.878821 9 0 -7
5.865446 1329949372.888072 10 0 -8
5.903320 1329949372.896131 10 0 -9
5.903320 1329949372.909359 11 0 -10
5.939924 1329949372.912504 11 1 -11
5.939924 1329949372.921056 12 1 -12
5.981824 1329949372.929002 12 2 -13
5.981824 1329949372.937650 13 2 -14
6.023656 1329949372.946067 13 2 -15
6.023656 1329949372.957812 14 3 -16
6.064880 1329949372.963401 14 3 -18
6.064880 1329949372.970772 14 3 -19
6.106638 1329949372.979890 15 3 -20
6.106638 1329949372.987651 15 4 -22
6.152009 1329949372.995997 15 4 -23
6.152009 1329949373.011516 15 4 -24
6.181257 1329949373.013930 15 5 -26
6.181257 1329949373.021014 15 5 -27
6.223445 1329949373.028439 14 5 -29
6.223445 1329949373.037703 14 5 -30
6.265113 1329949373.045954 13 6 -31
6.265113 1329949373.054112 13 6 -33
6.306823 1329949373.070775 12 6 -34
6.306823 1329949373.073236 11 6 -35
6.340168 1329949373.078778 10 5 -37
6.340168 1329949373.087556 9 5 -38
6.381774 1329949373.095861 8 5 -40
6.381774 1329949373.104281 7 4 -41
6.423144 1329949373.112592 5 4 -43
6.423144 1329949373.120919 4 3 -44
6.465260 1329949373.128396 3 3 -46
6.465260 1329949373.137541 1 2 -47
6.512580 1329949373.145901 0 0 -49
6.512580 1329949373.154159 -1 0 -50
6.540433 1329949373.162410 -3 -2 -52
6.540433 1329949373.174301 -5 -3 -53
6.581690 1329949373.178516 -7 -5 -55
6.581690 1329949373.187377 -9 -7 -56
6.620104 1329949373.195334 -11 -9 -58
6.620104 1329949373.204026 -13 -11 -59
6.664768 1329949373.211798 -15 -13 -60
6.664768 1329949373.223477 -17 -15 -61
6.705928 1329949373.228547 -19 -16 -62
6.705928 1329949373.236974 -20 -17 -62
6.739810 1329949373.245557 -21 -18 -63
6.739810 1329949373.253702 -22 -19 -63
6.781802 1329949373.261897 -22 -20 -63
6.781802 1329949373.270272 -23 -20 -63
6.822347 1329949373.278510 -23 -21 -62
6.822347 1329949373.286903 -24 -21 -60
6.863340 1329949373.295336 -25 -21 -57
6.863340 1329949373.303641 -27 -20 -54
6.907745 1329949373.311623 -28 -18 -49
6.907745 1329949373.324196 -30 -15 -43
6.947444 1329949373.346809 -31 -12 -36
6.947444 1329949373.361051 -31 -7 -29
6.980465 1329949373.363076 -30 -2 -22
6.980465 1329949373.370300 -27 3 -15
7.021928 1329949373.378476 -24 8 -8
7.021928 1329949373.386875 -22 12 -2
7.063151 1329949373.394971 -19 14 3
7.063151 1329949373.403705 -16 15 8
7.104924 1329949373.411710 -14 15 12
7.104924 1329949373.419827 -13 15 16
7.147764 1329949373.430485 -12 14 19
7.147764 1329949373.436706 -11 13 22
7.181176 1329949373.456239 -10 13 24
7.181176 1329949373.469593 -9 12 26
7.220980 1329949373.471867 -8 11 28
7.220980 1329949373.478176 -7 11 29
7.262414 1329949373.486603 -7 10 30
7.262414 1329949373.494972 -6 9 31
7.304170 1329949373.503541 -5 9 32
7.304170 1329949373.511943 -4 8 33
7.345754 1329949373.520141 -2 8 34
7.345754 1329949373.528471 -1 7 35
7.379131 1329949373.536698 0 6 36
7.379131 1329949373.545135 0 6 36
7.425400 1329949373.553508 2 5 37
7.425400 1329949373.561646 3 4 37
7.462253 1329949373.570668 4 4 37
7.462253 1329949373.578244 6 3 38
7.503798 1329949373.586447 7 3 38
7.503798 1329949373.595010 8 2 38
7.540694 1329949373.603620 8 1 38
7.540694 1329949373.611831 9 1 38
7.587179 1329949373.628975 9 0 38
7.587179 1329949373.641946 10 0 38
7.620505 1329949373.644773 10 0 37
7.620505 1329949373.653258 10 -1 37
7.662129 1329949373.661856 11 -1 37
7.662129 1329949373.669809 11 -2 37
7.703778 1329949373.688541 11 -2 37
7.703778 1329949373.703115 12 -3 36
7.745341 1329949373.705061 12 -3 36
7.745341 1329949373.711625 13 -4 36
7.780923 1329949373.719722 13 -5 35
7.780923 1329949373.728367 14 -6 35
7.819844 1329949373.736643 15 -6 34
7.819844 1329949373.744954 16 -7 34
7.861751 1329949373.753045 17 -8 33
7.861751 1329949373.761399 17 -9 33
7.903342 1329949373.769525 18 -10 32
7.903342 1329949373.778034 19 -10 31
7.945179 1329949373.786478 19 -11 31
7.945179 1329949373.794809 19 -12 30
7.990933 1329949373.804773 20 -13 29
7.990933 1329949373.811573 20 -14 28
8.020160 1329949373.819326 20 -14 27
8.020160 1329949373.828096 20 -15 25
8.062112 1329949373.836278 21 -16 24
8.062112 1329949373.849738 21 -16 22
8.103830 1329949373.854396 22 -17 19
8.103830 1329949373.861963 22 -17 15
8.141352 1329949373.869421 22 -17 11
8.141352 1329949373.877991 22 -17 6
8.179643 1329949373.886418 22 -16 0
8.179643 1329949373.894582 20 -13 -6
8.221572 1329949373.904224 18 -10 -13
8.221572 1329949373.911249 14 -6 -19
8.263340 1329949373.919487 10 -1 -25
8.263340 1329949373.928052 7 4 -32
8.288276 1329949373.936333 4 9 -38
8.321327 1329949373.944570 2 12 -45
8.321327 1329949373.953036 0 13 -51
8.359388 1329949373.961453 0 14 -57
8.359388 1329949373.969582 -1 14 -62
8.413940 1329949373.977712 -2 12 -65
8.413940 1329949373.986416 -4 11 -68
8.453599 1329949373.994760 -5 9 -70
8.453599 1329949374.002983 -6 6 -71
8.479691 1329949374.011323 -8 4 -72
8.479691 1329949374.019404 -9 3 -72
8.521385 1329949374.027716 -10 2 -72
8.521385 1329949374.036213 -11 1 -72
8.563127 1329949374.044783 -12 0 -71
8.563127 1329949374.061344 -12 0 -71
8.604449 1329949374.069874 -13 0 -70
8.604449 1329949374.077583 -13 0 -69
8.646227 1329949374.085909 -13 0 -68
8.646227 1329949374.094512 -13 0 -67
8.679748 1329949374.102820 -13 0 -66
8.679748 1329949374.128301 -12 0 -64
8.721367 1329949374.151257 -12 0 -63
8.721367 1329949374.162391 -12 0 -62
8.763279 1329949374.169694 -12 0 -60
8.763279 1329949374.177937 -12 0 -59
8.804602 1329949374.186453 -11 0 -57
8.804602 1329949374.196841 -11 0 -56
8.846076 1329949374.211348 -10 0 -54
8.846076 1329949374.223063 -10 0 -52
8.879429 1329949374.229146 -10 0 -51
8.879429 1329949374.240903 -9 0 -49
8.921327 1329949374.244711 -9 0 -48
8.921327 1329949374.253026 -8 0 -46
8.963015 1329949374.270200 -8 0 -45
8.963015 1329949374.277842 -7 0 -43
9.005544 1329949374.286049 -7 0 -42
9.005544 1329949374.294677 -7 0 -40
9.045750 1329949374.303084 -6 0 -39
9.045750 1329949374.311485 -6 0 -38
9.079451 1329949374.319692 -6 0 -36
9.079451 1329949374.327819 -6 0 -35
9.120108 1329949374.336310 -5 0 -34
9.120108 1329949374.344522 -5 0 -33
9.162200 1329949374.353214 -5 0 -32
9.162200 1329949374.361475 -5 0 -31
9.204086 1329949374.369438 -4 0 -30
9.204086 1329949374.377945 -4 0 -29
9.245708 1329949374.386008 -4 0 -28
9.245708 1329949374.394383 -3 0 -27
9.291897 1329949374.403029 -3 1 -26
9.291897 1329949374.411377 -3 1 -25
9.320791 1329949374.419533 -2 1 -25
9.320791 1329949374.427915 -2 1 -24
9.362239 1329949374.436028 -2 2 -23
9.362239 1329949374.444600 -2 2 -22
9.409585 1329949374.453147 -2 2 -22
