imu_t vicon_t roll pitch yaw
4.213679 1329704303.471414 5 3 -18
4.255190 1329704303.475249 6 3 -21
4.255190 1329704303.483709 7 4 -23
4.280812 1329704303.491908 8 4 -25
4.320160 1329704303.500155 9 4 -28
4.320160 1329704303.508691 9 4 -30
4.357398 1329704303.516787 10 4 -33
4.357398 1329704303.525255 10 4 -35
4.407600 1329704303.533812 10 4 -38
4.407600 1329704303.542310 10 5 -40
4.434564 1329704303.549989 9 5 -43
4.434564 1329704303.558629 8 5 -45
4.472264 1329704303.566900 7 6 -47
4.472264 1329704303.575241 7 6 -48
4.514086 1329704303.583525 6 6 -49
4.514086 1329704303.591912 5 6 -50
4.555617 1329704303.600229 5 5 -51
4.555617 1329704303.618570 5 5 -52
4.597110 1329704303.625199 4 4 -54
4.597110 1329704303.633653 4 3 -55
4.630491 1329704303.642145 3 2 -57
4.630491 1329704303.650483 3 1 -59
4.671816 1329704303.658090 2 1 -60
4.671816 1329704303.666627 1 0 -62
4.713692 1329704303.675377 0 0 -64
4.713692 1329704303.683524 0 0 -66
4.755825 1329704303.691661 -1 -1 -68
4.755825 1329704303.700204 -2 -1 -69
4.798120 1329704303.708106 -2 -2 -71
4.798120 1329704303.716336 -3 -3 -73
4.831480 1329704303.735671 -4 -5 -75
4.831480 1329704303.742271 -4 -6 -77
4.872810 1329704303.749974 -5 -7 -79
4.872810 1329704303.758399 -6 -8 -80
4.914388 1329704303.766589 -6 -9 -82
4.914388 1329704303.774547 -6 -10 -84
4.957267 1329704303.789544 -6 -10 -85
4.957267 1329704303.794551 -6 -11 -87
5.004257 1329704303.807192 -7 -12 -88
5.004257 1329704303.821610 -7 -12 -90
5.031353 1329704303.835377 -7 -13 -92
5.031353 1329704303.841125 -7 -14 -93
5.072560 1329704303.853662 -6 -14 -95
5.072560 1329704303.858317 -6 -14 -97
5.114153 1329704303.866387 -6 -14 -98
5.114153 1329704303.875119 -5 -14 -99
5.155409 1329704303.883041 -5 -14 -100
5.155409 1329704303.890923 -5 -13 -100
5.202656 1329704303.903213 -5 -12 -100
5.202656 1329704303.908441 -5 -12 -100
5.230372 1329704303.916383 -5 -10 -99
5.230372 1329704303.925024 -5 -9 -97
5.272917 1329704303.933142 -4 -7 -95
5.272917 1329704303.940820 -3 -6 -92
5.314225 1329704303.950041 -2 -4 -88
5.314225 1329704303.958262 0 -2 -84
5.355390 1329704303.966297 0 0 -79
5.355390 1329704303.974789 1 1 -73
5.396481 1329704303.983059 2 3 -67
5.396481 1329704303.990864 4 5 -60
5.438520 1329704304.000684 6 6 -53
5.438520 1329704304.008288 7 8 -46
5.471061 1329704304.016961 9 9 -39
5.471061 1329704304.024790 11 9 -31
5.515977 1329704304.033212 13 10 -24
5.515977 1329704304.040674 15 9 -17
5.555287 1329704304.049908 18 8 -11
5.555287 1329704304.058235 20 7 -4
5.595562 1329704304.066461 22 6 0
5.595562 1329704304.074793 24 5 5
5.639910 1329704304.083000 26 3 10
5.639910 1329704304.090702 28 1 14
5.671762 1329704304.099909 30 0 18
5.671762 1329704304.107942 32 -1 21
5.712014 1329704304.116189 33 -3 25
5.712014 1329704304.124706 33 -5 28
5.758232 1329704304.132967 32 -6 32
5.758232 1329704304.140621 30 -7 35
5.795112 1329704304.155171 27 -8 38
5.795112 1329704304.157933 25 -9 40
5.836691 1329704304.166023 22 -9 43
5.836691 1329704304.174361 20 -9 45
5.870134 1329704304.182708 18 -10 46
5.870134 1329704304.190469 16 -10 47
5.917545 1329704304.199171 15 -10 48
5.917545 1329704304.207621 15 -10 49
5.962091 1329704304.215795 14 -10 49
5.962091 1329704304.223985 14 -10 49
5.995209 1329704304.232484 15 -10 49
5.995209 1329704304.240566 15 -10 49
6.036204 1329704304.249092 15 -10 48
6.036204 1329704304.257510 15 -9 48
6.070030 1329704304.265820 15 -9 47
6.070030 1329704304.273860 14 -8 46
6.111416 1329704304.282495 14 -7 45
6.111416 1329704304.290374 14 -6 45
6.153231 1329704304.304348 14 -6 44
6.153231 1329704304.307492 14 -5 43
6.195197 1329704304.321595 14 -4 42
6.195197 1329704304.335047 14 -3 40
6.232795 1329704304.340553 13 -2 39
6.232795 1329704304.348374 13 -1 38
6.270086 1329704304.357515 13 0 36
6.270086 1329704304.376599 13 0 34
6.311327 1329704304.381805 13 1 33
6.311327 1329704304.390423 13 1 31
6.353276 1329704304.399609 12 2 28
6.353276 1329704304.406644 12 3 26
6.391020 1329704304.415860 12 4 24
6.391020 1329704304.423721 11 5 22
6.436415 1329704304.432013 11 6 19
6.436415 1329704304.440376 10 6 17
6.478820 1329704304.448642 9 7 15
6.478820 1329704304.456762 8 7 12
6.511535 1329704304.465466 7 8 10
6.511535 1329704304.473810 6 9 7
6.552978 1329704304.481797 5 10 5
6.552978 1329704304.490381 4 11 3
6.594457 1329704304.498569 3 12 0
6.594457 1329704304.506748 3 12 -1
6.636320 1329704304.515243 2 13 -3
6.636320 1329704304.523648 2 13 -5
6.673149 1329704304.531840 1 13 -7
6.673149 1329704304.540190 0 13 -9
6.712317 1329704304.548364 0 13 -11
6.712317 1329704304.556691 0 13 -12
6.752896 1329704304.565338 -1 13 -13
6.752896 1329704304.573616 -2 13 -15
6.794913 1329704304.585020 -3 13 -16
6.794913 1329704304.592526 -4 13 -17
6.836539 1329704304.598306 -5 12 -19
6.836539 1329704304.606561 -5 12 -20
6.878536 1329704304.615007 -5 12 -21
6.878536 1329704304.626031 -5 11 -21
6.912031 1329704304.631308 -5 11 -22
6.912031 1329704304.640083 -5 10 -23
6.953078 1329704304.648195 -5 10 -24
6.953078 1329704304.656361 -5 10 -24
6.995100 1329704304.664982 -5 9 -25
6.995100 1329704304.673492 -5 9 -25
7.030276 1329704304.681135 -5 8 -26
7.030276 1329704304.689809 -5 7 -26
7.070023 1329704304.697923 -5 6 -26
7.070023 1329704304.706470 -6 5 -27
7.111624 1329704304.714717 -6 5 -27
7.111624 1329704304.723211 -6 4 -27
7.153361 1329704304.731396 -6 3 -28
7.153361 1329704304.739634 -6 2 -28
7.195288 1329704304.748026 -6 1 -28
7.195288 1329704304.756309 -6 1 -29
